timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733084251387,610,Prueba,200,OK,Thread Group 1-53,text,true,,521,129,182,182,http://172.23.66.12:3000/proceso_c,606,0,40
1733084251383,614,Prueba,200,OK,Thread Group 1-39,text,true,,549,129,182,182,http://172.23.66.12:3000/proceso_c,610,0,39
1733084251424,573,Prueba,200,OK,Thread Group 1-69,text,true,,507,129,182,182,http://172.23.66.12:3000/proceso_c,569,0,4
1733084251384,641,Prueba,200,OK,Thread Group 1-11,text,true,,507,129,183,183,http://172.23.66.12:3000/proceso_c,641,0,37
1733084251383,645,Prueba,200,OK,Thread Group 1-18,text,true,,549,129,184,184,http://172.23.66.12:3000/proceso_c,645,0,35
1733084251421,611,Prueba,200,OK,Thread Group 1-68,text,true,,549,129,184,184,http://172.23.66.12:3000/proceso_c,611,0,2
1733084251383,654,Prueba,200,OK,Thread Group 1-50,text,true,,549,129,184,184,http://172.23.66.12:3000/proceso_c,654,0,36
1733084251402,639,Prueba,200,OK,Thread Group 1-64,text,true,,507,129,184,184,http://172.23.66.12:3000/proceso_c,639,0,28
1733084251383,660,Prueba,200,OK,Thread Group 1-5,text,true,,549,129,183,183,http://172.23.66.12:3000/proceso_c,660,0,38
1733084251384,673,Prueba,200,OK,Thread Group 1-27,text,true,,535,129,186,186,http://172.23.66.12:3000/proceso_c,673,0,39
1733084251386,680,Prueba,200,OK,Thread Group 1-59,text,true,,507,129,187,187,http://172.23.66.12:3000/proceso_c,680,0,34
1733084251385,681,Prueba,200,OK,Thread Group 1-3,text,true,,549,129,186,186,http://172.23.66.12:3000/proceso_c,681,0,35
1733084251389,680,Prueba,200,OK,Thread Group 1-62,text,true,,507,129,185,185,http://172.23.66.12:3000/proceso_c,680,0,38
1733084251384,687,Prueba,200,OK,Thread Group 1-13,text,true,,507,129,185,185,http://172.23.66.12:3000/proceso_c,687,0,43
1733084251383,691,Prueba,200,OK,Thread Group 1-14,text,true,,549,129,185,185,http://172.23.66.12:3000/proceso_c,691,0,37
1733084251382,694,Prueba,200,OK,Thread Group 1-28,text,true,,507,129,184,184,http://172.23.66.12:3000/proceso_c,694,0,44
1733084251384,702,Prueba,200,OK,Thread Group 1-54,text,true,,549,129,184,184,http://172.23.66.12:3000/proceso_c,702,0,37
1733084251383,704,Prueba,200,OK,Thread Group 1-21,text,true,,507,129,184,184,http://172.23.66.12:3000/proceso_c,704,0,36
1733084251384,704,Prueba,200,OK,Thread Group 1-29,text,true,,549,129,184,184,http://172.23.66.12:3000/proceso_c,704,0,36
1733084251384,773,Prueba,200,OK,Thread Group 1-17,text,true,,507,129,196,196,http://172.23.66.12:3000/proceso_c,773,0,41
1733084251383,1015,Prueba,200,OK,Thread Group 1-22,text,true,,549,129,243,243,http://172.23.66.12:3000/proceso_c,1015,0,39
1733084251383,1016,Prueba,200,OK,Thread Group 1-2,text,true,,549,129,243,243,http://172.23.66.12:3000/proceso_c,1016,0,36
1733084251389,1035,Prueba,200,OK,Thread Group 1-45,text,true,,549,129,246,246,http://172.23.66.12:3000/proceso_c,1035,0,33
1733084251383,1086,Prueba,200,OK,Thread Group 1-36,text,true,,549,129,254,254,http://172.23.66.12:3000/proceso_c,1086,0,47
1733084251384,1086,Prueba,200,OK,Thread Group 1-58,text,true,,535,129,254,254,http://172.23.66.12:3000/proceso_c,1086,0,35
1733084251410,1136,Prueba,200,OK,Thread Group 1-66,text,true,,521,129,267,267,http://172.23.66.12:3000/proceso_c,1136,0,18
1733084251385,1196,Prueba,200,OK,Thread Group 1-25,text,true,,535,129,274,274,http://172.23.66.12:3000/proceso_c,1196,0,42
1733084251384,1199,Prueba,200,OK,Thread Group 1-41,text,true,,549,129,273,273,http://172.23.66.12:3000/proceso_c,1199,0,35
1733084251386,1198,Prueba,200,OK,Thread Group 1-61,text,true,,521,129,273,273,http://172.23.66.12:3000/proceso_c,1198,0,42
1733084251384,1204,Prueba,200,OK,Thread Group 1-40,text,true,,535,129,272,272,http://172.23.66.12:3000/proceso_c,1204,0,35
1733084251389,1200,Prueba,200,OK,Thread Group 1-46,text,true,,535,129,271,271,http://172.23.66.12:3000/proceso_c,1200,0,35
1733084251415,1176,Prueba,200,OK,Thread Group 1-67,text,true,,549,129,271,271,http://172.23.66.12:3000/proceso_c,1176,0,9
1733084251383,1209,Prueba,200,OK,Thread Group 1-32,text,true,,549,129,270,270,http://172.23.66.12:3000/proceso_c,1209,0,39
1733084251382,1227,Prueba,200,OK,Thread Group 1-44,text,true,,507,129,272,272,http://172.23.66.12:3000/proceso_c,1227,0,47
1733084251384,1325,Prueba,200,OK,Thread Group 1-55,text,true,,549,129,291,291,http://172.23.66.12:3000/proceso_c,1325,0,39
1733084251382,1339,Prueba,200,OK,Thread Group 1-33,text,true,,521,129,293,293,http://172.23.66.12:3000/proceso_c,1339,0,45
1733084251382,1379,Prueba,200,OK,Thread Group 1-35,text,true,,549,129,300,300,http://172.23.66.12:3000/proceso_c,1379,0,46
1733084251385,1377,Prueba,200,OK,Thread Group 1-24,text,true,,549,129,300,300,http://172.23.66.12:3000/proceso_c,1377,0,35
1733084251507,1272,Prueba,200,OK,Thread Group 1-81,text,true,,507,129,302,302,http://172.23.66.12:3000/proceso_c,1272,0,1
