timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733081520795,207,Prueba,200,OK,Thread Group 1-24,text,true,,507,129,56,56,http://172.23.66.12:3000/proceso_c,203,0,34
1733081520796,209,Prueba,200,OK,Thread Group 1-15,text,true,,507,129,56,56,http://172.23.66.12:3000/proceso_c,209,0,38
1733081520832,293,Prueba,200,OK,Thread Group 1-32,text,true,,521,129,69,69,http://172.23.66.12:3000/proceso_c,293,0,3
1733081520826,300,Prueba,200,OK,Thread Group 1-31,text,true,,507,129,68,68,http://172.23.66.12:3000/proceso_c,300,0,3
1733081520840,286,Prueba,200,OK,Thread Group 1-33,text,true,,549,129,67,67,http://172.23.66.12:3000/proceso_c,286,0,0
1733081520796,341,Prueba,200,OK,Thread Group 1-9,text,true,,507,129,67,67,http://172.23.66.12:3000/proceso_c,341,0,38
1733081520797,351,Prueba,200,OK,Thread Group 1-27,text,true,,521,129,68,68,http://172.23.66.12:3000/proceso_c,351,0,32
1733081520796,354,Prueba,200,OK,Thread Group 1-11,text,true,,521,129,67,67,http://172.23.66.12:3000/proceso_c,354,0,33
1733081520796,356,Prueba,200,OK,Thread Group 1-7,text,true,,535,129,66,66,http://172.23.66.12:3000/proceso_c,356,0,34
1733081520796,359,Prueba,200,OK,Thread Group 1-8,text,true,,521,129,65,65,http://172.23.66.12:3000/proceso_c,359,0,33
1733081520818,340,Prueba,200,OK,Thread Group 1-30,text,true,,521,129,65,65,http://172.23.66.12:3000/proceso_c,340,0,11
1733081520805,354,Prueba,200,OK,Thread Group 1-28,text,true,,549,129,64,64,http://172.23.66.12:3000/proceso_c,354,0,24
1733081520795,367,Prueba,200,OK,Thread Group 1-20,text,true,,549,129,64,64,http://172.23.66.12:3000/proceso_c,367,0,40
1733081520795,368,Prueba,200,OK,Thread Group 1-22,text,true,,521,129,64,64,http://172.23.66.12:3000/proceso_c,368,0,38
1733081520796,406,Prueba,200,OK,Thread Group 1-16,text,true,,507,129,66,66,http://172.23.66.12:3000/proceso_c,406,0,38
1733081520847,372,Prueba,200,OK,Thread Group 1-34,text,true,,521,129,68,68,http://172.23.66.12:3000/proceso_c,372,0,0
1733081520947,292,Prueba,200,OK,Thread Group 1-49,text,true,,507,129,69,69,http://172.23.66.12:3000/proceso_c,292,0,0
1733081520796,444,Prueba,200,OK,Thread Group 1-1,text,true,,521,129,68,68,http://172.23.66.12:3000/proceso_c,443,0,38
1733081520815,439,Prueba,200,OK,Thread Group 1-29,text,true,,507,129,69,69,http://172.23.66.12:3000/proceso_c,439,0,19
1733081520792,477,Prueba,200,OK,Thread Group 1-4,text,true,,549,129,70,70,http://172.23.66.12:3000/proceso_c,477,0,38
1733081520796,474,Prueba,200,OK,Thread Group 1-5,text,true,,535,129,69,69,http://172.23.66.12:3000/proceso_c,474,0,34
1733081520795,476,Prueba,200,OK,Thread Group 1-10,text,true,,521,129,68,68,http://172.23.66.12:3000/proceso_c,476,0,39
1733081520794,477,Prueba,200,OK,Thread Group 1-25,text,true,,549,129,68,68,http://172.23.66.12:3000/proceso_c,477,0,37
1733081520794,478,Prueba,200,OK,Thread Group 1-19,text,true,,521,129,66,66,http://172.23.66.12:3000/proceso_c,478,0,39
1733081520796,480,Prueba,200,OK,Thread Group 1-2,text,true,,549,129,66,66,http://172.23.66.12:3000/proceso_c,480,0,37
1733081520795,521,Prueba,200,OK,Thread Group 1-23,text,true,,521,129,69,69,http://172.23.66.12:3000/proceso_c,521,0,38
1733081520884,433,Prueba,200,OK,Thread Group 1-39,text,true,,507,129,68,68,http://172.23.66.12:3000/proceso_c,433,0,2
1733081520898,422,Prueba,200,OK,Thread Group 1-41,text,true,,549,129,67,67,http://172.23.66.12:3000/proceso_c,422,0,1
1733081520795,545,Prueba,200,OK,Thread Group 1-18,text,true,,521,129,67,67,http://172.23.66.12:3000/proceso_c,545,0,39
1733081520796,546,Prueba,200,OK,Thread Group 1-3,text,true,,549,129,66,66,http://172.23.66.12:3000/proceso_c,546,0,37
1733081520795,549,Prueba,200,OK,Thread Group 1-17,text,true,,521,129,66,66,http://172.23.66.12:3000/proceso_c,549,0,38
1733081520794,564,Prueba,200,OK,Thread Group 1-12,text,true,,535,129,66,66,http://172.23.66.12:3000/proceso_c,564,0,36
1733081520980,431,Prueba,200,OK,Thread Group 1-53,text,true,,549,129,74,74,http://172.23.66.12:3000/proceso_c,431,0,1
1733081520798,614,Prueba,200,OK,Thread Group 1-26,text,true,,521,129,73,73,http://172.23.66.12:3000/proceso_c,614,0,33
1733081520920,497,Prueba,200,OK,Thread Group 1-44,text,true,,507,129,72,72,http://172.23.66.12:3000/proceso_c,497,0,1
1733081520796,628,Prueba,200,OK,Thread Group 1-6,text,true,,507,129,71,71,http://172.23.66.12:3000/proceso_c,628,0,38
1733081520942,486,Prueba,200,OK,Thread Group 1-47,text,true,,507,129,70,70,http://172.23.66.12:3000/proceso_c,486,0,2
1733081520954,503,Prueba,200,OK,Thread Group 1-48,text,true,,549,129,75,75,http://172.23.66.12:3000/proceso_c,503,0,1
1733081520855,603,Prueba,200,OK,Thread Group 1-35,text,true,,535,129,74,74,http://172.23.66.12:3000/proceso_c,603,0,1
1733081520796,662,Prueba,200,OK,Thread Group 1-13,text,true,,521,129,74,74,http://172.23.66.12:3000/proceso_c,662,0,34
1733081520979,486,Prueba,200,OK,Thread Group 1-51,text,true,,521,129,74,74,http://172.23.66.12:3000/proceso_c,486,0,2
1733081521253,277,Prueba,200,OK,Thread Group 1-87,text,true,,507,129,81,81,http://172.23.66.12:3000/proceso_c,277,0,2
1733081520796,747,Prueba,200,OK,Thread Group 1-14,text,true,,507,129,81,81,http://172.23.66.12:3000/proceso_c,747,0,37
1733081521037,506,Prueba,200,OK,Thread Group 1-60,text,true,,535,129,80,80,http://172.23.66.12:3000/proceso_c,506,0,1
1733081520994,552,Prueba,200,OK,Thread Group 1-55,text,true,,549,129,80,80,http://172.23.66.12:3000/proceso_c,552,0,1
1733081520972,574,Prueba,200,OK,Thread Group 1-52,text,true,,521,129,79,79,http://172.23.66.12:3000/proceso_c,574,0,1
1733081520796,751,Prueba,200,OK,Thread Group 1-21,text,true,,535,129,78,78,http://172.23.66.12:3000/proceso_c,751,0,38
1733081520905,643,Prueba,200,OK,Thread Group 1-42,text,true,,521,129,77,77,http://172.23.66.12:3000/proceso_c,643,0,1
1733081520986,562,Prueba,200,OK,Thread Group 1-54,text,true,,521,129,76,76,http://172.23.66.12:3000/proceso_c,562,0,1
1733081521003,547,Prueba,200,OK,Thread Group 1-56,text,true,,535,129,75,75,http://172.23.66.12:3000/proceso_c,547,0,8
1733081520862,688,Prueba,200,OK,Thread Group 1-36,text,true,,535,129,75,75,http://172.23.66.12:3000/proceso_c,688,0,1
1733081520891,729,Prueba,200,OK,Thread Group 1-40,text,true,,535,129,82,82,http://172.23.66.12:3000/proceso_c,729,0,1
1733081520869,753,Prueba,200,OK,Thread Group 1-37,text,true,,549,129,81,81,http://172.23.66.12:3000/proceso_c,752,0,1
1733081521062,560,Prueba,200,OK,Thread Group 1-63,text,true,,549,129,81,81,http://172.23.66.12:3000/proceso_c,560,0,1
1733081521170,472,Prueba,200,OK,Thread Group 1-77,text,true,,535,129,82,82,http://172.23.66.12:3000/proceso_c,472,0,0
1733081521227,417,Prueba,200,OK,Thread Group 1-84,text,true,,549,129,81,81,http://172.23.66.12:3000/proceso_c,417,0,0
1733081520966,686,Prueba,200,OK,Thread Group 1-50,text,true,,507,129,81,81,http://172.23.66.12:3000/proceso_c,686,0,1
1733081521352,303,Prueba,200,OK,Thread Group 1-97,text,true,,521,129,80,80,http://172.23.66.12:3000/proceso_c,302,0,1
1733081520936,720,Prueba,200,OK,Thread Group 1-46,text,true,,521,129,79,79,http://172.23.66.12:3000/proceso_c,720,0,1
1733081521027,629,Prueba,200,OK,Thread Group 1-59,text,true,,549,129,79,79,http://172.23.66.12:3000/proceso_c,629,0,0
1733081520928,732,Prueba,200,OK,Thread Group 1-45,text,true,,521,129,78,78,http://172.23.66.12:3000/proceso_c,732,0,1
1733081521010,650,Prueba,200,OK,Thread Group 1-57,text,true,,549,129,78,78,http://172.23.66.12:3000/proceso_c,650,0,1
1733081520879,784,Prueba,200,OK,Thread Group 1-38,text,true,,507,129,76,76,http://172.23.66.12:3000/proceso_c,784,0,2
1733081521053,611,Prueba,200,OK,Thread Group 1-62,text,true,,521,129,75,75,http://172.23.66.12:3000/proceso_c,611,0,1
1733081521044,620,Prueba,200,OK,Thread Group 1-61,text,true,,535,129,74,74,http://172.23.66.12:3000/proceso_c,620,0,0
1733081521019,647,Prueba,200,OK,Thread Group 1-58,text,true,,549,129,73,73,http://172.23.66.12:3000/proceso_c,647,0,1
1733081521233,451,Prueba,200,OK,Thread Group 1-85,text,true,,549,129,75,75,http://172.23.66.12:3000/proceso_c,451,0,1
1733081521218,472,Prueba,200,OK,Thread Group 1-83,text,true,,507,129,75,75,http://172.23.66.12:3000/proceso_c,472,0,1
1733081521211,491,Prueba,200,OK,Thread Group 1-82,text,true,,507,129,75,75,http://172.23.66.12:3000/proceso_c,491,0,1
1733081521123,580,Prueba,200,OK,Thread Group 1-71,text,true,,549,129,74,74,http://172.23.66.12:3000/proceso_c,580,0,0
1733081521138,571,Prueba,200,OK,Thread Group 1-73,text,true,,549,129,74,74,http://172.23.66.12:3000/proceso_c,571,0,1
1733081521068,662,Prueba,200,OK,Thread Group 1-64,text,true,,507,129,76,76,http://172.23.66.12:3000/proceso_c,662,0,1
1733081520913,855,Prueba,200,OK,Thread Group 1-43,text,true,,549,129,79,79,http://172.23.66.12:3000/proceso_c,855,0,2
1733081521129,702,Prueba,200,OK,Thread Group 1-72,text,true,,507,129,86,86,http://172.23.66.12:3000/proceso_c,702,0,1
1733081521114,718,Prueba,200,OK,Thread Group 1-70,text,true,,521,129,85,85,http://172.23.66.12:3000/proceso_c,718,0,1
1733081521181,660,Prueba,200,OK,Thread Group 1-78,text,true,,521,129,85,85,http://172.23.66.12:3000/proceso_c,660,0,0
1733081521082,759,Prueba,200,OK,Thread Group 1-66,text,true,,549,129,85,85,http://172.23.66.12:3000/proceso_c,759,0,1
1733081521097,745,Prueba,200,OK,Thread Group 1-68,text,true,,521,129,84,84,http://172.23.66.12:3000/proceso_c,745,0,1
1733081521337,505,Prueba,200,OK,Thread Group 1-95,text,true,,521,129,83,83,http://172.23.66.12:3000/proceso_c,505,0,1
1733081521076,787,Prueba,200,OK,Thread Group 1-65,text,true,,521,129,84,84,http://172.23.66.12:3000/proceso_c,787,0,1
1733081521205,664,Prueba,200,OK,Thread Group 1-81,text,true,,521,129,84,84,http://172.23.66.12:3000/proceso_c,664,0,0
1733081521187,685,Prueba,200,OK,Thread Group 1-79,text,true,,521,129,83,83,http://172.23.66.12:3000/proceso_c,685,0,1
1733081521195,688,Prueba,200,OK,Thread Group 1-80,text,true,,507,129,84,84,http://172.23.66.12:3000/proceso_c,688,0,1
1733081521259,624,Prueba,200,OK,Thread Group 1-88,text,true,,521,129,83,83,http://172.23.66.12:3000/proceso_c,624,0,0
1733081521375,509,Prueba,200,OK,Thread Group 1-100,text,true,,521,129,82,82,http://172.23.66.12:3000/proceso_c,509,0,0
1733081521430,466,Prueba,200,OK,Thread Group 1-108,text,true,,507,129,82,82,http://172.23.66.12:3000/proceso_c,466,0,0
1733081521255,641,Prueba,200,OK,Thread Group 1-86,text,true,,521,129,81,81,http://172.23.66.12:3000/proceso_c,641,0,0
1733081521523,390,Prueba,200,OK,Thread Group 1-121,text,true,,507,129,82,82,http://172.23.66.12:3000/proceso_c,390,0,0
1733081521317,598,Prueba,200,OK,Thread Group 1-94,text,true,,507,129,82,82,http://172.23.66.12:3000/proceso_c,598,0,1
1733081521162,755,Prueba,200,OK,Thread Group 1-76,text,true,,521,129,81,81,http://172.23.66.12:3000/proceso_c,755,0,2
1733081521156,763,Prueba,200,OK,Thread Group 1-75,text,true,,521,129,80,80,http://172.23.66.12:3000/proceso_c,763,0,1
1733081521090,829,Prueba,200,OK,Thread Group 1-67,text,true,,535,129,79,79,http://172.23.66.12:3000/proceso_c,829,0,1
1733081521367,558,Prueba,200,OK,Thread Group 1-99,text,true,,549,129,79,79,http://172.23.66.12:3000/proceso_c,557,0,0
1733081521344,582,Prueba,200,OK,Thread Group 1-96,text,true,,549,129,78,78,http://172.23.66.12:3000/proceso_c,582,0,1
1733081521266,666,Prueba,200,OK,Thread Group 1-89,text,true,,521,129,77,77,http://172.23.66.12:3000/proceso_c,666,0,0
1733081521282,651,Prueba,200,OK,Thread Group 1-91,text,true,,535,129,76,76,http://172.23.66.12:3000/proceso_c,651,0,1
1733081521610,325,Prueba,200,OK,Thread Group 1-132,text,true,,507,129,76,76,http://172.23.66.12:3000/proceso_c,325,0,1
1733081521274,662,Prueba,200,OK,Thread Group 1-90,text,true,,507,129,75,75,http://172.23.66.12:3000/proceso_c,662,0,0
1733081521579,357,Prueba,200,OK,Thread Group 1-128,text,true,,507,129,74,74,http://172.23.66.12:3000/proceso_c,357,0,1
1733081521360,619,Prueba,200,OK,Thread Group 1-98,text,true,,507,129,78,78,http://172.23.66.12:3000/proceso_c,619,0,0
1733081521482,506,Prueba,200,OK,Thread Group 1-116,text,true,,535,129,79,79,http://172.23.66.12:3000/proceso_c,506,0,1
1733081521298,690,Prueba,200,OK,Thread Group 1-93,text,true,,535,129,79,79,http://172.23.66.12:3000/proceso_c,690,0,1
1733081521106,882,Prueba,200,OK,Thread Group 1-69,text,true,,549,129,78,78,http://172.23.66.12:3000/proceso_c,882,0,0
1733081521562,427,Prueba,200,OK,Thread Group 1-126,text,true,,521,129,76,76,http://172.23.66.12:3000/proceso_c,427,0,0
1733081521465,525,Prueba,200,OK,Thread Group 1-114,text,true,,535,129,75,75,http://172.23.66.12:3000/proceso_c,525,0,1
1733081521394,596,Prueba,200,OK,Thread Group 1-103,text,true,,521,129,75,75,http://172.23.66.12:3000/proceso_c,596,0,0
1733081521290,699,Prueba,200,OK,Thread Group 1-92,text,true,,507,129,73,73,http://172.23.66.12:3000/proceso_c,699,0,0
1733081521392,602,Prueba,200,OK,Thread Group 1-102,text,true,,507,129,72,72,http://172.23.66.12:3000/proceso_c,602,0,0
1733081521433,568,Prueba,200,OK,Thread Group 1-109,text,true,,535,129,72,72,http://172.23.66.12:3000/proceso_c,568,0,0
1733081521145,859,Prueba,200,OK,Thread Group 1-74,text,true,,549,129,71,71,http://172.23.66.12:3000/proceso_c,859,0,4
1733081521538,469,Prueba,200,OK,Thread Group 1-123,text,true,,521,129,71,71,http://172.23.66.12:3000/proceso_c,469,0,1
1733081521383,627,Prueba,200,OK,Thread Group 1-101,text,true,,535,129,70,70,http://172.23.66.12:3000/proceso_c,627,0,1
1733081521515,506,Prueba,200,OK,Thread Group 1-120,text,true,,521,129,70,70,http://172.23.66.12:3000/proceso_c,506,0,1
1733081521395,652,Prueba,200,OK,Thread Group 1-104,text,true,,521,129,73,73,http://172.23.66.12:3000/proceso_c,652,0,1
1733081521491,560,Prueba,200,OK,Thread Group 1-117,text,true,,521,129,73,73,http://172.23.66.12:3000/proceso_c,560,0,1
1733081521619,456,Prueba,200,OK,Thread Group 1-133,text,true,,549,129,75,75,http://172.23.66.12:3000/proceso_c,456,0,4
1733081521843,235,Prueba,200,OK,Thread Group 1-161,text,true,,507,129,74,74,http://172.23.66.12:3000/proceso_c,235,0,0
1733081521570,513,Prueba,200,OK,Thread Group 1-127,text,true,,521,129,73,73,http://172.23.66.12:3000/proceso_c,513,0,1
1733081521460,627,Prueba,200,OK,Thread Group 1-113,text,true,,521,129,73,73,http://172.23.66.12:3000/proceso_c,627,0,1
1733081521658,439,Prueba,200,OK,Thread Group 1-138,text,true,,507,129,73,73,http://172.23.66.12:3000/proceso_c,439,0,1
1733081521436,662,Prueba,200,OK,Thread Group 1-110,text,true,,521,129,72,72,http://172.23.66.12:3000/proceso_c,662,0,1
