timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733081550375,275,Prueba,200,OK,Thread Group 1-8,text,true,,507,129,70,70,http://172.23.66.12:3000/proceso_c,271,0,33
1733081550406,252,Prueba,200,OK,Thread Group 1-39,text,true,,521,129,71,71,http://172.23.66.12:3000/proceso_c,252,0,1
1733081550393,277,Prueba,200,OK,Thread Group 1-36,text,true,,521,129,72,72,http://172.23.66.12:3000/proceso_c,277,0,16
1733081550373,299,Prueba,200,OK,Thread Group 1-31,text,true,,521,129,71,71,http://172.23.66.12:3000/proceso_c,299,0,36
1733081550365,315,Prueba,200,OK,Thread Group 1-32,text,true,,521,129,70,70,http://172.23.66.12:3000/proceso_c,315,0,41
1733081550394,330,Prueba,200,OK,Thread Group 1-37,text,true,,507,129,75,75,http://172.23.66.12:3000/proceso_c,330,0,15
1733081550369,367,Prueba,200,OK,Thread Group 1-1,text,true,,507,129,76,76,http://172.23.66.12:3000/proceso_c,367,0,37
1733081550372,364,Prueba,200,OK,Thread Group 1-18,text,true,,549,129,75,75,http://172.23.66.12:3000/proceso_c,364,0,34
1733081550375,363,Prueba,200,OK,Thread Group 1-27,text,true,,521,129,74,74,http://172.23.66.12:3000/proceso_c,363,0,31
1733081550369,375,Prueba,200,OK,Thread Group 1-16,text,true,,535,129,74,74,http://172.23.66.12:3000/proceso_c,375,0,39
1733081550377,369,Prueba,200,OK,Thread Group 1-28,text,true,,549,129,73,73,http://172.23.66.12:3000/proceso_c,369,0,32
1733081550375,383,Prueba,200,OK,Thread Group 1-6,text,true,,549,129,74,74,http://172.23.66.12:3000/proceso_c,383,0,33
1733081550371,395,Prueba,200,OK,Thread Group 1-10,text,true,,507,129,74,74,http://172.23.66.12:3000/proceso_c,395,0,37
1733081550366,400,Prueba,200,OK,Thread Group 1-3,text,true,,535,129,74,74,http://172.23.66.12:3000/proceso_c,400,0,39
1733081550379,399,Prueba,200,OK,Thread Group 1-35,text,true,,507,129,73,73,http://172.23.66.12:3000/proceso_c,399,0,28
1733081550366,428,Prueba,200,OK,Thread Group 1-4,text,true,,507,129,75,75,http://172.23.66.12:3000/proceso_c,428,0,42
