timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733081379804,11,Prueba,200,OK,Thread Group 1-48,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,10,0,1
1733081379833,13,Prueba,200,OK,Thread Group 1-49,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,13,0,1
1733081379864,10,Prueba,200,OK,Thread Group 1-50,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,10,0,1
1733081379894,13,Prueba,200,OK,Thread Group 1-51,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,13,0,1
1733081379923,13,Prueba,200,OK,Thread Group 1-52,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,13,0,3
1733081379953,10,Prueba,200,OK,Thread Group 1-53,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,10,0,1
1733081379983,13,Prueba,200,OK,Thread Group 1-54,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,13,0,1
1733081380013,14,Prueba,200,OK,Thread Group 1-55,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,13,0,1
1733081380043,13,Prueba,200,OK,Thread Group 1-56,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,13,0,1
1733081380072,17,Prueba,200,OK,Thread Group 1-57,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,17,0,1
1733081380098,7,Prueba,200,OK,Thread Group 1-58,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,7,0,1
1733081380128,12,Prueba,200,OK,Thread Group 1-59,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,12,0,1
1733081380150,11,Prueba,200,OK,Thread Group 1-60,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,11,0,1
1733081380183,12,Prueba,200,OK,Thread Group 1-61,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,12,0,1
1733081380213,14,Prueba,200,OK,Thread Group 1-62,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,14,0,2
1733081380240,10,Prueba,200,OK,Thread Group 1-63,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,10,0,1
1733081380271,13,Prueba,200,OK,Thread Group 1-64,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,13,0,1
1733081380303,18,Prueba,200,OK,Thread Group 1-65,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,18,0,7
1733081380330,9,Prueba,200,OK,Thread Group 1-66,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,9,0,0
1733081380360,9,Prueba,200,OK,Thread Group 1-67,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,9,0,1
1733081380389,14,Prueba,200,OK,Thread Group 1-68,text,true,,521,129,1,1,http://172.23.66.12:3000/proceso_c,14,0,1
1733081380418,14,Prueba,200,OK,Thread Group 1-69,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,13,0,1
1733081380448,10,Prueba,200,OK,Thread Group 1-70,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,10,0,1
1733081380478,14,Prueba,200,OK,Thread Group 1-71,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,14,0,1
1733081380508,13,Prueba,200,OK,Thread Group 1-72,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,13,0,1
1733081380537,15,Prueba,200,OK,Thread Group 1-73,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,15,0,2
1733081380566,9,Prueba,200,OK,Thread Group 1-74,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,9,0,1
1733081380596,15,Prueba,200,OK,Thread Group 1-75,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,15,0,1
1733081380626,8,Prueba,200,OK,Thread Group 1-76,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,8,0,1
1733081380653,12,Prueba,200,OK,Thread Group 1-77,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,12,0,1
1733081380678,17,Prueba,200,OK,Thread Group 1-78,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,17,0,2
1733081380706,8,Prueba,200,OK,Thread Group 1-79,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,8,0,1
1733081380735,11,Prueba,200,OK,Thread Group 1-80,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,11,0,1
1733081380764,14,Prueba,200,OK,Thread Group 1-81,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,14,0,2
1733081380794,14,Prueba,200,OK,Thread Group 1-82,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,14,0,1
1733081380824,9,Prueba,200,OK,Thread Group 1-83,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,9,0,2
1733081380853,18,Prueba,200,OK,Thread Group 1-84,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,18,0,1
