timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733081480067,143,Prueba,200,OK,Thread Group 1-26,text,true,,507,129,41,41,http://172.23.66.12:3000/proceso_c,138,0,1
1733081480034,194,Prueba,200,OK,Thread Group 1-19,text,true,,507,129,42,42,http://172.23.66.12:3000/proceso_c,194,0,35
1733081480035,204,Prueba,200,OK,Thread Group 1-2,text,true,,507,129,42,42,http://172.23.66.12:3000/proceso_c,204,0,36
1733081480036,207,Prueba,200,OK,Thread Group 1-13,text,true,,507,129,41,41,http://172.23.66.12:3000/proceso_c,207,0,33
1733081480036,211,Prueba,200,OK,Thread Group 1-5,text,true,,507,129,40,40,http://172.23.66.12:3000/proceso_c,211,0,33
1733081480035,214,Prueba,200,OK,Thread Group 1-20,text,true,,521,129,39,39,http://172.23.66.12:3000/proceso_c,213,0,35
1733081480036,214,Prueba,200,OK,Thread Group 1-6,text,true,,507,129,39,39,http://172.23.66.12:3000/proceso_c,214,0,33
1733081480039,212,Prueba,200,OK,Thread Group 1-22,text,true,,507,129,38,38,http://172.23.66.12:3000/proceso_c,212,0,29
1733081480041,212,Prueba,200,OK,Thread Group 1-23,text,true,,507,129,37,37,http://172.23.66.12:3000/proceso_c,212,0,29
1733081480036,270,Prueba,200,OK,Thread Group 1-9,text,true,,521,129,42,42,http://172.23.66.12:3000/proceso_c,270,0,34
1733081480036,272,Prueba,200,OK,Thread Group 1-16,text,true,,521,129,41,41,http://172.23.66.12:3000/proceso_c,272,0,34
1733081480036,286,Prueba,200,OK,Thread Group 1-10,text,true,,507,129,42,42,http://172.23.66.12:3000/proceso_c,286,0,33
1733081480036,286,Prueba,200,OK,Thread Group 1-14,text,true,,549,129,42,42,http://172.23.66.12:3000/proceso_c,286,0,31
1733081480036,287,Prueba,200,OK,Thread Group 1-7,text,true,,549,129,41,41,http://172.23.66.12:3000/proceso_c,287,0,34
1733081480035,332,Prueba,200,OK,Thread Group 1-3,text,true,,507,129,44,44,http://172.23.66.12:3000/proceso_c,332,0,36
1733081480036,332,Prueba,200,OK,Thread Group 1-8,text,true,,549,129,44,44,http://172.23.66.12:3000/proceso_c,331,0,32
1733081480036,333,Prueba,200,OK,Thread Group 1-15,text,true,,549,129,42,42,http://172.23.66.12:3000/proceso_c,333,0,33
1733081480180,227,Prueba,200,OK,Thread Group 1-38,text,true,,535,129,45,45,http://172.23.66.12:3000/proceso_c,227,0,1
1733081480035,381,Prueba,200,OK,Thread Group 1-4,text,true,,521,129,45,45,http://172.23.66.12:3000/proceso_c,381,0,31
1733081480036,381,Prueba,200,OK,Thread Group 1-18,text,true,,549,129,44,44,http://172.23.66.12:3000/proceso_c,381,0,31
1733081480170,287,Prueba,200,OK,Thread Group 1-37,text,true,,521,129,47,47,http://172.23.66.12:3000/proceso_c,287,0,1
1733081480133,325,Prueba,200,OK,Thread Group 1-33,text,true,,507,129,48,48,http://172.23.66.12:3000/proceso_c,325,0,0
1733081480106,355,Prueba,200,OK,Thread Group 1-30,text,true,,507,129,46,46,http://172.23.66.12:3000/proceso_c,355,0,2
1733081480008,454,Prueba,200,OK,Thread Group 1-11,text,true,,521,129,46,46,http://172.23.66.12:3000/proceso_c,454,0,62
1733081480076,387,Prueba,200,OK,Thread Group 1-27,text,true,,549,129,44,44,http://172.23.66.12:3000/proceso_c,387,0,0
1733081480051,416,Prueba,200,OK,Thread Group 1-24,text,true,,535,129,44,44,http://172.23.66.12:3000/proceso_c,415,0,20
1733081480340,128,Prueba,200,OK,Thread Group 1-55,text,true,,507,129,43,43,http://172.23.66.12:3000/proceso_c,128,0,1
1733081480036,435,Prueba,200,OK,Thread Group 1-12,text,true,,521,129,42,42,http://172.23.66.12:3000/proceso_c,435,0,37
1733081480050,432,Prueba,200,OK,Thread Group 1-21,text,true,,521,129,43,43,http://172.23.66.12:3000/proceso_c,432,0,22
1733081480116,368,Prueba,200,OK,Thread Group 1-31,text,true,,521,129,42,42,http://172.23.66.12:3000/proceso_c,368,0,4
1733081480036,449,Prueba,200,OK,Thread Group 1-17,text,true,,521,129,41,41,http://172.23.66.12:3000/proceso_c,449,0,33
1733081480142,349,Prueba,200,OK,Thread Group 1-34,text,true,,507,129,40,40,http://172.23.66.12:3000/proceso_c,349,0,0
